px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.74735	-13.2939	-2.42051	0.0193817	-1.20755	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.53722
7.59142	-13.2913	-2.46996	-0.0505086	-1.21202	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
7.44742	-13.2712	-2.47899	-0.124916	-1.21878	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.897662
7.28174	-13.2531	-2.52817	-0.193851	-1.21677	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
7.12182	-13.1925	-2.6287	-0.295593	-1.27002	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.62997
6.96668	-13.1559	-2.67776	-0.356067	-1.26362	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.83301	-13.1084	-2.66643	-0.418074	-1.25447	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.2132
6.66947	-13.0551	-2.71571	-0.476917	-1.24189	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.57623	-13.0242	-2.53687	-0.503926	-1.17971	6.40137	-13.0799	6.4	-13.05	-2.72678	0	9.50421
6.40826	-12.9813	-2.60359	-0.540989	-1.15043	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.29589	-12.9237	-2.54017	-0.586939	-1.12563	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.6188
6.1214	-12.8755	-2.61567	-0.611919	-1.08817	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
5.98143	-12.765	-2.78089	-0.688866	-1.12592	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.80347
5.82064	-12.6975	-2.84542	-0.712566	-1.09301	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.72663	-12.6312	-2.67711	-0.745263	-1.04929	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.55619
5.56996	-12.562	-2.72206	-0.764241	-1.0121	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.44915	-12.4453	-2.78465	-0.822402	-1.01879	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.933415
5.28555	-12.3689	-2.83123	-0.83134	-0.973916	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.18608	-12.2726	-2.76876	-0.87168	-0.956507	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.23807
5.04408	-12.1813	-2.79884	-0.888904	-0.922962	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
4.94935	-12.0674	-2.81312	-0.932537	-0.920208	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.440168
4.83385	-11.9796	-2.82491	-0.949304	-0.892849	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.7409	-11.8499	-2.84533	-0.996909	-0.892552	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.142081
4.65365	-11.7226	-2.84502	-1.04062	-0.887534	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.6028	-11.6182	-2.68687	-1.08707	-0.879844	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.40554
4.53616	-11.5008	-2.67282	-1.12898	-0.8744	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
4.42425	-11.3179	-3.00375	-1.16279	-0.870729	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	24.5048
4.38844	-11.1703	-2.99833	-1.22134	-0.885272	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
4.38768	-11.0527	-2.76769	-1.2927	-0.908068	4.43713	-11.024	4.45	-11.05	0	1.81614	11.9174
4.37549	-10.9047	-2.75302	-1.35852	-0.923926	4.45136	-10.93	4.45	-10.95	0	1.81612	0
4.3544	-10.7577	-2.74351	-1.41356	-0.928334	4.44745	-10.786	4.45	-10.8	0	2.72555	0.102704
